Rank,Release_Date,Movie_Title,USD_Production_Budget,USD_Worldwide_Gross,USD_Domestic_Gross
325,1982-10-02,Island of Protocol #325,"$3,719,947","$4,509,814","$1,430,938"
326,1983-03-01,Legacy of Chronicles #326,"$18,924,687","$13,387,480","$5,979,776"
327,2014-12-18,Island of Protocol #327,"$23,523,021","$49,587,975","$24,109,581"
328,2000-08-05,Journey of Island #328,"$11,122,471","$24,751,657","$11,386,157"
329,1990-07-05,Journey of Chronicles #329,"$55,880,908","$69,670,601","$39,233,408"
330,1998-10-16,Chronicles of Battle #330,"$1,607,234","$5,155,233","$2,306,582"
331,2002-11-11,Island of Mission #331,"$105,006,543","$230,188,857","$119,172,210"
332,2007-03-15,Legacy of Journey #332,"$48,079,633","$111,380,345","$63,255,912"
333,1982-11-05,Mission of Journey #333,"$13,272,461","$28,928,052","$16,717,948"
334,2008-06-11,Shadow of Battle #334,"$82,890,802","$194,179,467","$106,010,210"
335,2014-08-25,Dawn of Chronicles #335,"$55,650,213","$341,181,572","$122,892,000"
336,2019-07-07,Battle of Island #336,"$1,250,708","$1,424,081","$429,644"
337,1988-01-04,Mission of Secret #337,"$34,679,705","$17,996,297","$7,553,586"
338,2009-06-11,Protocol of Mission #338,"$5,853,359","$1,818,278","$587,410"
339,2021-12-16,Battle of Mission #339,"$11,276,433","$5,878,735","$3,015,985"
340,2018-03-08,Island of Island #340,"$4,400,815","$5,787,202","$2,689,278"
341,1998-05-19,Protocol of Dawn #341,"$26,619,407","$14,054,628","$7,963,320"
342,1989-04-08,Island of Battle #342,"$16,605,278","$32,341,290","$11,979,085"
343,1994-06-04,Protocol of Mission #343,"$2,062,182","$7,382,747","$2,815,948"
344,1997-08-02,Dawn of Mission #344,"$38,706,813","$43,079,647","$15,367,020"
345,2011-06-06,Journey of Island #345,"$93,454,194","$203,601,997","$89,603,284"
346,2008-12-11,Mission of Legacy #346,"$65,882,830","$39,988,296","$18,856,191"
347,1992-03-17,Chronicles of Dawn #347,"$6,762,231","$30,558,270","$15,356,814"
348,2002-10-01,Island of Chronicles #348,"$111,269,496","$368,942,938","$138,821,943"
349,2003-12-11,Island of Secret #349,"$123,509,384","$425,001,667","$165,502,305"
999,2028-12-25,Avatar 5: The Seed Bearer,",000,000",,
