year,category,prize,motivation,laureate_type,full_name,birth_date,birth_country,birth_city,sex,death_date
1947,Medicine,The Nobel Prize in Medicine 1947,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1947_Med_1,1885-05-11,United Kingdom,Metropolis,Male,1971-05-15
1947,Economics,The Nobel Prize in Economics 1947,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1947_Eco_2,1904-01-05,Canada,Metropolis,Male,1990-05-15
1947,Physics,The Nobel Prize in Physics 1947,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1947_Phy_3,1896-11-08,United Kingdom,Metropolis,Male,1970-05-15
1948,Literature,The Nobel Prize in Literature 1948,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1948_Lit_0,1877-05-26,Germany,Metropolis,Male,1961-05-15
1948,Economics,The Nobel Prize in Economics 1948,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1948_Eco_1,1892-04-19,United States,Metropolis,Male,1975-05-15
1948,Chemistry,The Nobel Prize in Chemistry 1948,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1948_Che_2,1880-11-07,United States,Metropolis,Male,1961-05-15
1949,Economics,The Nobel Prize in Economics 1949,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1949_Eco_0,1889-01-26,United Kingdom,Metropolis,Male,1972-05-15
1949,Literature,The Nobel Prize in Literature 1949,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1949_Lit_1,1887-11-13,United Kingdom,Metropolis,Male,1970-05-15
1949,Medicine,The Nobel Prize in Medicine 1949,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1949_Med_2,1890-11-08,United States,Metropolis,Male,1986-05-15
1949,Chemistry,The Nobel Prize in Chemistry 1949,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1949_Che_3,1893-11-27,United Kingdom,Metropolis,Male,1969-05-15
1950,Peace,The Nobel Prize in Peace 1950,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1950_Pea_0,1899-08-19,Sweden,Metropolis,Male,1981-05-15
1950,Peace,The Nobel Prize in Peace 1950,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1950_Pea_1,1890-02-25,Sweden,Metropolis,Male,1972-05-15
1951,Medicine,The Nobel Prize in Medicine 1951,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1951_Med_0,1883-05-07,Italy,Metropolis,Male,1966-05-15
1951,Physics,The Nobel Prize in Physics 1951,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1951_Phy_1,1878-04-07,United States,Metropolis,Male,1957-05-15
1951,Medicine,The Nobel Prize in Medicine 1951,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1951_Med_2,1891-03-12,United States,Metropolis,Male,1969-05-15
1951,Literature,The Nobel Prize in Literature 1951,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1951_Lit_3,1917-07-12,United Kingdom,Metropolis,Male,2009-05-15
1952,Physics,The Nobel Prize in Physics 1952,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1952_Phy_0,1891-10-12,United Kingdom,Metropolis,Male,1986-05-15
1952,Economics,The Nobel Prize in Economics 1952,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1952_Eco_1,1897-03-27,United Kingdom,Metropolis,Male,1969-05-15
1952,Economics,The Nobel Prize in Economics 1952,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1952_Eco_2,1898-09-16,United States,Metropolis,Male,1960-05-15
1952,Literature,The Nobel Prize in Literature 1952,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1952_Lit_3,1909-05-01,Italy,Metropolis,Male,1976-05-15
1953,Physics,The Nobel Prize in Physics 1953,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1953_Phy_0,1904-05-25,United States,Metropolis,Male,1977-05-15
1953,Physics,The Nobel Prize in Physics 1953,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1953_Phy_1,1896-04-12,Canada,Metropolis,Male,1970-05-15
1953,Medicine,The Nobel Prize in Medicine 1953,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1953_Med_2,1895-08-14,Russia,Metropolis,Male,1970-05-15
1954,Economics,The Nobel Prize in Economics 1954,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1954_Eco_0,1893-05-19,Germany,Metropolis,Male,1978-05-15
1954,Peace,The Nobel Prize in Peace 1954,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1954_Pea_1,1899-10-03,United States,Metropolis,Male,1980-05-15
1954,Economics,The Nobel Prize in Economics 1954,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1954_Eco_2,1894-04-26,Japan,Metropolis,Male,1964-05-15
1954,Physics,The Nobel Prize in Physics 1954,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1954_Phy_3,1887-08-03,United States,Metropolis,Male,1977-05-15
1955,Economics,The Nobel Prize in Economics 1955,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1955_Eco_0,1897-08-03,Germany,Metropolis,Male,1988-05-15
1955,Medicine,The Nobel Prize in Medicine 1955,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1955_Med_1,1890-05-11,United States,Metropolis,Male,1980-05-15
1955,Medicine,The Nobel Prize in Medicine 1955,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1955_Med_2,1895-05-16,United States,Metropolis,Male,1971-05-15
1955,Peace,The Nobel Prize in Peace 1955,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1955_Pea_3,1886-03-24,Switzerland,Metropolis,Male,1968-05-15
1956,Medicine,The Nobel Prize in Medicine 1956,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1956_Med_0,1885-12-01,Switzerland,Metropolis,Male,1967-05-15
1956,Medicine,The Nobel Prize in Medicine 1956,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1956_Med_1,1891-10-04,Switzerland,Metropolis,Male,1979-05-15
1956,Medicine,The Nobel Prize in Medicine 1956,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1956_Med_2,1900-07-18,Sweden,Metropolis,Male,1975-05-15
1957,Economics,The Nobel Prize in Economics 1957,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1957_Eco_0,1891-08-02,Sweden,Metropolis,Male,1957-05-15
1957,Literature,The Nobel Prize in Literature 1957,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1957_Lit_1,1901-07-10,United States,Metropolis,Male,1977-05-15
1957,Physics,The Nobel Prize in Physics 1957,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1957_Phy_2,1891-06-04,Russia,Metropolis,Male,1974-05-15
1958,Literature,The Nobel Prize in Literature 1958,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1958_Lit_0,1897-01-22,United States,Metropolis,Male,1973-05-15
1958,Chemistry,The Nobel Prize in Chemistry 1958,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1958_Che_1,1878-04-12,United States,Metropolis,Male,1958-05-15
1958,Peace,The Nobel Prize in Peace 1958,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1958_Pea_2,1883-10-23,United States,Metropolis,Male,1964-05-15
1959,Chemistry,The Nobel Prize in Chemistry 1959,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1959_Che_0,1914-07-15,United States,Metropolis,Male,1978-05-15
1959,Peace,The Nobel Prize in Peace 1959,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1959_Pea_1,1897-06-11,France,Metropolis,Male,1974-05-15
1959,Medicine,The Nobel Prize in Medicine 1959,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1959_Med_2,1918-10-06,Switzerland,Metropolis,Male,1995-05-15
1960,Chemistry,The Nobel Prize in Chemistry 1960,For pioneering breakthroughs and discoveries,Individual,Female Laureate 1960_Che_0,1913-12-16,United States,Metropolis,Female,2006-05-15
1960,Medicine,The Nobel Prize in Medicine 1960,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1960_Med_1,1897-11-14,Russia,Metropolis,Male,1982-05-15
1960,Chemistry,The Nobel Prize in Chemistry 1960,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1960_Che_2,1899-09-14,Sweden,Metropolis,Male,1986-05-15
1960,Physics,The Nobel Prize in Physics 1960,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1960_Phy_3,1915-12-22,Germany,Metropolis,Male,1999-05-15
1961,Peace,The Nobel Prize in Peace 1961,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1961_Pea_0,1906-08-21,United States,Metropolis,Male,1972-05-15
1961,Chemistry,The Nobel Prize in Chemistry 1961,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1961_Che_1,1889-12-06,France,Metropolis,Male,1976-05-15
1961,Physics,The Nobel Prize in Physics 1961,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1961_Phy_2,1904-09-14,United States,Metropolis,Male,1982-05-15
1962,Economics,The Nobel Prize in Economics 1962,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1962_Eco_0,1905-12-01,Germany,Metropolis,Male,1987-05-15
1962,Chemistry,The Nobel Prize in Chemistry 1962,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1962_Che_1,1916-06-07,United Kingdom,Metropolis,Male,1989-05-15
1962,Chemistry,The Nobel Prize in Chemistry 1962,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1962_Che_2,1907-01-08,France,Metropolis,Male,1985-05-15
1962,Medicine,The Nobel Prize in Medicine 1962,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1962_Med_3,1885-09-18,United States,Metropolis,Male,1978-05-15
1963,Literature,The Nobel Prize in Literature 1963,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1963_Lit_0,1902-10-22,Japan,Metropolis,Male,1991-05-15
1963,Chemistry,The Nobel Prize in Chemistry 1963,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1963_Che_1,1906-02-22,United Kingdom,Metropolis,Male,1978-05-15
1963,Literature,The Nobel Prize in Literature 1963,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1963_Lit_2,1907-07-14,United States,Metropolis,Male,1992-05-15
1964,Peace,The Nobel Prize in Peace 1964,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1964_Pea_0,1875-02-19,Sweden,Metropolis,Male,1964-05-15
1964,Economics,The Nobel Prize in Economics 1964,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1964_Eco_1,1913-03-03,United States,Metropolis,Male,1994-05-15
1965,Peace,The Nobel Prize in Peace 1965,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1965_Pea_0,1909-05-26,United Kingdom,Metropolis,Male,1993-05-15
1965,Peace,The Nobel Prize in Peace 1965,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1965_Pea_1,1897-12-24,Japan,Metropolis,Male,1985-05-15
1966,Physics,The Nobel Prize in Physics 1966,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1966_Phy_0,1907-04-02,United Kingdom,Metropolis,Male,1986-05-15
1966,Chemistry,The Nobel Prize in Chemistry 1966,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1966_Che_1,1919-02-08,Sweden,Metropolis,Male,1988-05-15
1966,Peace,The Nobel Prize in Peace 1966,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1966_Pea_2,1902-07-10,France,Metropolis,Male,1986-05-15
1967,Economics,The Nobel Prize in Economics 1967,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1967_Eco_0,1909-06-15,United Kingdom,Metropolis,Male,1985-05-15
1967,Economics,The Nobel Prize in Economics 1967,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1967_Eco_1,1919-11-25,United Kingdom,Metropolis,Male,2003-05-15
1967,Physics,The Nobel Prize in Physics 1967,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1967_Phy_2,1907-12-24,United States,Metropolis,Male,1988-05-15
1968,Medicine,The Nobel Prize in Medicine 1968,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1968_Med_0,1914-12-09,Switzerland,Metropolis,Male,1980-05-15
1968,Physics,The Nobel Prize in Physics 1968,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1968_Phy_1,1921-11-05,United Kingdom,Metropolis,Male,1990-05-15
1969,Peace,The Nobel Prize in Peace 1969,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1969_Pea_0,1914-06-12,United Kingdom,Metropolis,Male,2010-05-15
1969,Medicine,The Nobel Prize in Medicine 1969,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1969_Med_1,1909-04-26,United States,Metropolis,Male,1985-05-15
1969,Peace,The Nobel Prize in Peace 1969,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1969_Pea_2,1908-12-10,Germany,Metropolis,Male,1982-05-15
1969,Literature,The Nobel Prize in Literature 1969,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1969_Lit_3,1900-08-15,Italy,Metropolis,Male,1984-05-15
1970,Chemistry,The Nobel Prize in Chemistry 1970,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1970_Che_0,1918-05-01,United States,Metropolis,Male,2004-05-15
1970,Peace,The Nobel Prize in Peace 1970,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1970_Pea_1,1905-07-23,United Kingdom,Metropolis,Male,1979-05-15
1970,Chemistry,The Nobel Prize in Chemistry 1970,For pioneering breakthroughs and discoveries,Individual,Female Laureate 1970_Che_2,1904-08-17,United States,Metropolis,Female,1981-05-15
1970,Literature,The Nobel Prize in Literature 1970,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1970_Lit_3,1909-05-16,United States,Metropolis,Male,1997-05-15
1971,Physics,The Nobel Prize in Physics 1971,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1971_Phy_0,1912-09-21,United States,Metropolis,Male,1996-05-15
1971,Peace,The Nobel Prize in Peace 1971,For pioneering breakthroughs and discoveries,Individual,Female Laureate 1971_Pea_1,1899-04-06,United States,Metropolis,Female,1986-05-15
1972,Economics,The Nobel Prize in Economics 1972,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1972_Eco_0,1905-01-24,Canada,Metropolis,Male,1983-05-15
1972,Economics,The Nobel Prize in Economics 1972,For pioneering breakthroughs and discoveries,Individual,Female Laureate 1972_Eco_1,1923-07-15,United Kingdom,Metropolis,Female,1993-05-15
1972,Peace,The Nobel Prize in Peace 1972,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1972_Pea_2,1902-03-12,United States,Metropolis,Male,2001-05-15
1972,Economics,The Nobel Prize in Economics 1972,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1972_Eco_3,1902-09-03,United States,Metropolis,Male,1996-05-15
1973,Chemistry,The Nobel Prize in Chemistry 1973,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1973_Che_0,1930-04-15,Russia,Metropolis,Male,2013-05-15
1973,Medicine,The Nobel Prize in Medicine 1973,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1973_Med_1,1916-11-19,Sweden,Metropolis,Male,2001-05-15
1974,Literature,The Nobel Prize in Literature 1974,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1974_Lit_0,1915-05-20,Canada,Metropolis,Male,1989-05-15
1974,Economics,The Nobel Prize in Economics 1974,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1974_Eco_1,1934-04-18,United States,Metropolis,Male,2019-05-15
1974,Chemistry,The Nobel Prize in Chemistry 1974,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1974_Che_2,1916-12-10,United States,Metropolis,Male,1996-05-15
1974,Peace,The Nobel Prize in Peace 1974,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1974_Pea_3,1920-08-04,United States,Metropolis,Male,2006-05-15
1975,Economics,The Nobel Prize in Economics 1975,For pioneering breakthroughs and discoveries,Individual,Female Laureate 1975_Eco_0,1911-07-22,Germany,Metropolis,Female,1994-05-15
1975,Economics,The Nobel Prize in Economics 1975,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1975_Eco_1,1910-08-26,United Kingdom,Metropolis,Male,2001-05-15
1975,Physics,The Nobel Prize in Physics 1975,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1975_Phy_2,1928-05-04,Japan,Metropolis,Male,2004-05-15
1976,Medicine,The Nobel Prize in Medicine 1976,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1976_Med_0,1911-10-01,Switzerland,Metropolis,Male,1998-05-15
1976,Chemistry,The Nobel Prize in Chemistry 1976,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1976_Che_1,1917-05-17,United States,Metropolis,Male,2007-05-15
1976,Economics,The Nobel Prize in Economics 1976,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1976_Eco_2,1907-10-09,United States,Metropolis,Male,2006-05-15
1977,Peace,The Nobel Prize in Peace 1977,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1977_Pea_0,1926-06-07,Germany,Metropolis,Male,2021-05-15
1977,Physics,The Nobel Prize in Physics 1977,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1977_Phy_1,1912-07-13,France,Metropolis,Male,2007-05-15
1977,Economics,The Nobel Prize in Economics 1977,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1977_Eco_2,1934-01-27,United States,Metropolis,Male,
1978,Physics,The Nobel Prize in Physics 1978,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1978_Phy_0,1914-12-27,Germany,Metropolis,Male,2003-05-15
1978,Peace,The Nobel Prize in Peace 1978,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1978_Pea_1,1929-10-03,United States,Metropolis,Male,2016-05-15
1978,Economics,The Nobel Prize in Economics 1978,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1978_Eco_2,1912-02-23,Germany,Metropolis,Male,2009-05-15
1979,Literature,The Nobel Prize in Literature 1979,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1979_Lit_0,1929-10-25,United States,Metropolis,Male,2016-05-15
1979,Literature,The Nobel Prize in Literature 1979,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1979_Lit_1,1925-08-22,United States,Metropolis,Male,1995-05-15
1979,Peace,The Nobel Prize in Peace 1979,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1979_Pea_2,1912-04-06,France,Metropolis,Male,1984-05-15
1980,Chemistry,The Nobel Prize in Chemistry 1980,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1980_Che_0,1919-04-02,Sweden,Metropolis,Male,2020-05-15
1980,Peace,The Nobel Prize in Peace 1980,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1980_Pea_1,1928-05-02,United States,Metropolis,Male,1999-05-15
1980,Medicine,The Nobel Prize in Medicine 1980,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1980_Med_2,1926-10-04,United States,Metropolis,Male,2014-05-15
1981,Economics,The Nobel Prize in Economics 1981,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1981_Eco_0,1921-03-24,Canada,Metropolis,Male,2002-05-15
1981,Chemistry,The Nobel Prize in Chemistry 1981,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1981_Che_1,1928-09-15,Switzerland,Metropolis,Male,2017-05-15
1981,Peace,The Nobel Prize in Peace 1981,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1981_Pea_2,1914-02-25,United States,Metropolis,Male,1996-05-15
1982,Economics,The Nobel Prize in Economics 1982,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1982_Eco_0,1928-03-09,United States,Metropolis,Male,2017-05-15
1982,Economics,The Nobel Prize in Economics 1982,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1982_Eco_1,1917-12-13,United States,Metropolis,Male,1999-05-15
1983,Economics,The Nobel Prize in Economics 1983,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1983_Eco_0,1923-07-19,Switzerland,Metropolis,Male,2003-05-15
1983,Medicine,The Nobel Prize in Medicine 1983,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1983_Med_1,1924-02-24,Germany,Metropolis,Male,1994-05-15
1983,Physics,The Nobel Prize in Physics 1983,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1983_Phy_2,1931-12-01,United Kingdom,Metropolis,Male,2008-05-15
1983,Literature,The Nobel Prize in Literature 1983,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1983_Lit_3,1931-04-04,Germany,Metropolis,Male,2007-05-15
1984,Chemistry,The Nobel Prize in Chemistry 1984,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1984_Che_0,1938-07-27,United States,Metropolis,Male,2018-05-15
1984,Literature,The Nobel Prize in Literature 1984,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1984_Lit_1,1920-07-02,United Kingdom,Metropolis,Male,2001-05-15
1984,Economics,The Nobel Prize in Economics 1984,For pioneering breakthroughs and discoveries,Individual,Female Laureate 1984_Eco_2,1916-10-24,United Kingdom,Metropolis,Female,1991-05-15
1985,Peace,The Nobel Prize in Peace 1985,For pioneering breakthroughs and discoveries,Individual,Female Laureate 1985_Pea_0,1935-12-11,United States,Metropolis,Female,2016-05-15
1985,Peace,The Nobel Prize in Peace 1985,For pioneering breakthroughs and discoveries,Individual,Female Laureate 1985_Pea_1,1937-04-16,Japan,Metropolis,Female,2018-05-15
1985,Literature,The Nobel Prize in Literature 1985,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1985_Lit_2,1915-10-21,Germany,Metropolis,Male,1999-05-15
1985,Chemistry,The Nobel Prize in Chemistry 1985,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1985_Che_3,1932-01-02,Switzerland,Metropolis,Male,2022-05-15
1986,Physics,The Nobel Prize in Physics 1986,For pioneering breakthroughs and discoveries,Individual,Female Laureate 1986_Phy_0,1927-11-23,Japan,Metropolis,Female,2016-05-15
1986,Chemistry,The Nobel Prize in Chemistry 1986,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1986_Che_1,1923-07-24,United States,Metropolis,Male,2002-05-15
1987,Medicine,The Nobel Prize in Medicine 1987,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1987_Med_0,1934-08-25,United States,Metropolis,Male,2015-05-15
1987,Medicine,The Nobel Prize in Medicine 1987,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1987_Med_1,1952-04-11,Germany,Metropolis,Male,
1988,Medicine,The Nobel Prize in Medicine 1988,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1988_Med_0,1917-10-06,Germany,Metropolis,Male,2004-05-15
1988,Literature,The Nobel Prize in Literature 1988,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1988_Lit_1,1937-09-09,Switzerland,Metropolis,Male,2011-05-15
1988,Physics,The Nobel Prize in Physics 1988,For pioneering breakthroughs and discoveries,Individual,Female Laureate 1988_Phy_2,1914-12-02,United Kingdom,Metropolis,Female,2010-05-15
1988,Medicine,The Nobel Prize in Medicine 1988,For pioneering breakthroughs and discoveries,Individual,Female Laureate 1988_Med_3,1937-08-27,United States,Metropolis,Female,2020-05-15
1989,Literature,The Nobel Prize in Literature 1989,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1989_Lit_0,1926-12-19,United States,Metropolis,Male,2006-05-15
1989,Economics,The Nobel Prize in Economics 1989,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1989_Eco_1,1942-07-17,United States,Metropolis,Male,
1989,Literature,The Nobel Prize in Literature 1989,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1989_Lit_2,1932-08-14,Canada,Metropolis,Male,
1990,Literature,The Nobel Prize in Literature 1990,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1990_Lit_0,1939-12-13,United States,Metropolis,Male,
1990,Chemistry,The Nobel Prize in Chemistry 1990,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1990_Che_1,1942-12-13,United States,Metropolis,Male,2023-05-15
1990,Economics,The Nobel Prize in Economics 1990,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1990_Eco_2,1949-03-23,United Kingdom,Metropolis,Male,
1991,Economics,The Nobel Prize in Economics 1991,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1991_Eco_0,1938-10-26,Switzerland,Metropolis,Male,2023-05-15
1991,Physics,The Nobel Prize in Physics 1991,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1991_Phy_1,1940-10-02,France,Metropolis,Male,2017-05-15
1992,Physics,The Nobel Prize in Physics 1992,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1992_Phy_0,1944-09-16,Germany,Metropolis,Male,
1992,Peace,The Nobel Prize in Peace 1992,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1992_Pea_1,1930-12-17,United Kingdom,Metropolis,Male,2013-05-15
1992,Economics,The Nobel Prize in Economics 1992,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1992_Eco_2,1947-03-23,United States,Metropolis,Male,2020-05-15
1992,Economics,The Nobel Prize in Economics 1992,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1992_Eco_3,1941-04-10,Switzerland,Metropolis,Male,2006-05-15
1993,Medicine,The Nobel Prize in Medicine 1993,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1993_Med_0,1938-01-23,United States,Metropolis,Male,2010-05-15
1993,Literature,The Nobel Prize in Literature 1993,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1993_Lit_1,1936-04-04,United Kingdom,Metropolis,Male,2015-05-15
1993,Economics,The Nobel Prize in Economics 1993,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1993_Eco_2,1937-03-17,United Kingdom,Metropolis,Male,2019-05-15
1994,Economics,The Nobel Prize in Economics 1994,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1994_Eco_0,1929-03-16,United States,Metropolis,Male,2007-05-15
1994,Peace,The Nobel Prize in Peace 1994,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1994_Pea_1,1943-04-17,United States,Metropolis,Male,2023-05-15
1994,Medicine,The Nobel Prize in Medicine 1994,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1994_Med_2,1944-01-17,Japan,Metropolis,Male,
1994,Economics,The Nobel Prize in Economics 1994,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1994_Eco_3,1937-12-11,Germany,Metropolis,Male,2011-05-15
1995,Physics,The Nobel Prize in Physics 1995,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1995_Phy_0,1932-03-13,Russia,Metropolis,Male,2014-05-15
1995,Medicine,The Nobel Prize in Medicine 1995,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1995_Med_1,1934-03-21,United States,Metropolis,Male,2001-05-15
1995,Medicine,The Nobel Prize in Medicine 1995,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1995_Med_2,1930-10-05,United States,Metropolis,Male,2007-05-15
1995,Literature,The Nobel Prize in Literature 1995,For pioneering breakthroughs and discoveries,Individual,Female Laureate 1995_Lit_3,1936-01-24,United States,Metropolis,Female,
1996,Literature,The Nobel Prize in Literature 1996,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1996_Lit_0,1946-04-24,Sweden,Metropolis,Male,
1996,Physics,The Nobel Prize in Physics 1996,For pioneering breakthroughs and discoveries,Individual,Female Laureate 1996_Phy_1,1938-12-07,Russia,Metropolis,Female,2018-05-15
1997,Literature,The Nobel Prize in Literature 1997,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1997_Lit_0,1948-09-13,Sweden,Metropolis,Male,2014-05-15
1997,Economics,The Nobel Prize in Economics 1997,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1997_Eco_1,1962-07-06,United States,Metropolis,Male,
1997,Chemistry,The Nobel Prize in Chemistry 1997,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1997_Che_2,1926-08-14,France,Metropolis,Male,2004-05-15
