App,Category,Rating,Reviews,Size_MBs,Installs,Type,Price,Content_Rating,Genres
Productivity App #311,PRODUCTIVITY,4.4,10656,26.1,500000,Free,0.0,Mature 17+,Productivity
Communication App #312,COMMUNICATION,3.8,245293,53.6,5000000,Free,0.0,Everyone,Communication
Tools App #313,TOOLS,4.8,3,44.3,100,Free,0.0,Everyone,Tools
Tools App #314,TOOLS,4.0,242636,50.9,10000000,Free,0.0,Everyone,Tools
Business App #315,BUSINESS,4.7,237,85.5,10000,Free,0.0,Everyone,Business
Productivity App #316,PRODUCTIVITY,3.5,16,81.8,500,Free,0.0,Mature 17+,Productivity
Family App #317,FAMILY,4.0,1144,85.2,50000,Free,0.0,Everyone,Family
Medical App #318,MEDICAL,4.0,3887,81.8,50000,Free,0.0,Everyone,Medical
Photography App #319,PHOTOGRAPHY,4.4,3261,94.7,100000,Free,0.0,Everyone 10+,Photography
Photography App #320,PHOTOGRAPHY,3.9,491,51.3,10000,Free,0.0,Teen,Photography
Family App #321,FAMILY,4.4,177,72.8,10000,Free,0.0,Everyone 10+,Family
Family App #322,FAMILY,4.1,35045,48.2,1000000,Free,0.0,Teen,Family
Lifestyle App #323,LIFESTYLE,4.3,19704,86.2,500000,Free,0.0,Teen,Lifestyle
Family App #324,FAMILY,4.0,40485,55.9,1000000,Free,0.0,Teen,Family
Tools App #325,TOOLS,4.8,7,18.7,500,Paid,9.99,Mature 17+,Tools
Game App #326,GAME,3.6,1539,34.0,100000,Free,0.0,Mature 17+,Game
Finance App #327,FINANCE,4.5,709,73.4,10000,Free,0.0,Teen,Finance
Family App #328,FAMILY,4.3,2847,54.3,50000,Free,0.0,Everyone,Family
Communication App #329,COMMUNICATION,3.7,194,76.7,5000,Free,0.0,Everyone,Communication
Game App #330,GAME,4.0,7763,14.3,100000,Paid,14.99,Teen,Game
Tools App #331,TOOLS,4.6,29,83.2,1000,Free,0.0,Everyone,Tools
Finance App #332,FINANCE,3.9,83,24.9,5000,Free,0.0,Everyone,Finance
Communication App #333,COMMUNICATION,4.5,145143,83.6,10000000,Free,0.0,Mature 17+,Communication
Finance App #334,FINANCE,5.0,4719,80.0,100000,Free,0.0,Everyone,Finance
Tools App #335,TOOLS,5.0,13,22.9,500,Free,0.0,Everyone,Tools
Medical App #336,MEDICAL,4.6,56844,79.2,1000000,Paid,9.99,Mature 17+,Medical
Game App #337,GAME,4.9,2606,85.1,50000,Paid,4.99,Everyone,Game
Communication App #338,COMMUNICATION,4.0,2570,67.5,50000,Free,0.0,Everyone,Communication
Photography App #339,PHOTOGRAPHY,4.1,278,90.4,5000,Free,0.0,Everyone,Photography
Photography App #340,PHOTOGRAPHY,3.0,27193,9.1,500000,Free,0.0,Everyone,Photography
Game App #341,GAME,4.1,4287,44.2,100000,Paid,14.99,Everyone,Game
Tools App #342,TOOLS,4.4,41,46.4,1000,Free,0.0,Everyone,Tools
Finance App #343,FINANCE,4.0,6,55.4,100,Free,0.0,Everyone,Finance
Finance App #344,FINANCE,3.8,67167,28.8,1000000,Free,0.0,Teen,Finance
Medical App #345,MEDICAL,4.0,5727,6.6,100000,Free,0.0,Everyone,Medical
Game App #346,GAME,4.2,38,86.5,1000,Free,0.0,Teen,Game
Game App #347,GAME,4.6,1283,83.1,100000,Free,0.0,Everyone,Game
Productivity App #348,PRODUCTIVITY,4.5,179,13.7,5000,Free,0.0,Everyone,Productivity
Productivity App #349,PRODUCTIVITY,4.8,194436,62.3,5000000,Free,0.0,Everyone,Productivity
Tools App #350,TOOLS,3.8,225753,15.3,5000000,Free,0.0,Everyone,Tools
Photography App #351,PHOTOGRAPHY,4.9,235,79.2,5000,Free,0.0,Everyone 10+,Photography
Family App #352,FAMILY,4.6,41,10.3,1000,Paid,14.99,Everyone,Family
Medical App #353,MEDICAL,4.1,6,8.7,100,Free,0.0,Everyone,Medical
Family App #354,FAMILY,3.5,4797,82.2,100000,Free,0.0,Everyone,Family
Family App #355,FAMILY,3.3,50,36.8,1000,Free,0.0,Everyone,Family
Productivity App #356,PRODUCTIVITY,3.9,18109,17.9,500000,Free,0.0,Everyone,Productivity
Productivity App #357,PRODUCTIVITY,4.1,4,37.5,100,Paid,0.99,Everyone,Productivity
Game App #358,GAME,4.4,17760,22.7,500000,Paid,9.99,Everyone 10+,Game
Game App #359,GAME,4.0,22,91.7,500,Paid,0.99,Everyone,Game
Finance App #360,FINANCE,4.2,212017,4.7,10000000,Free,0.0,Teen,Finance
Medical App #361,MEDICAL,4.0,362,46.3,10000,Free,0.0,Everyone,Medical
Family App #362,FAMILY,4.7,1,58.6,100,Free,0.0,Everyone,Family
Game App #363,GAME,3.6,2437,52.6,50000,Free,0.0,Teen,Game
Photography App #364,PHOTOGRAPHY,4.3,339385,68.1,5000000,Free,0.0,Everyone,Photography
Medical App #365,MEDICAL,4.2,343,56.2,10000,Free,0.0,Everyone,Medical
Tools App #366,TOOLS,4.4,22,39.7,500,Free,0.0,Everyone 10+,Tools
Family App #367,FAMILY,4.1,61157,16.2,1000000,Free,0.0,Mature 17+,Family
Medical App #368,MEDICAL,4.9,19,57.4,1000,Free,0.0,Everyone,Medical
Finance App #369,FINANCE,4.4,936,76.0,50000,Free,0.0,Everyone,Finance
Lifestyle App #370,LIFESTYLE,4.0,7,49.9,100,Free,0.0,Everyone,Lifestyle
Productivity App #371,PRODUCTIVITY,3.5,2422,73.0,100000,Free,0.0,Everyone,Productivity
Business App #372,BUSINESS,3.8,7,93.2,100,Free,0.0,Everyone,Business
Tools App #373,TOOLS,4.1,398,8.0,5000,Free,0.0,Everyone,Tools
Game App #374,GAME,4.9,7186,84.2,500000,Free,0.0,Everyone,Game
Photography App #375,PHOTOGRAPHY,4.7,970,30.2,50000,Paid,14.99,Everyone,Photography
Family App #376,FAMILY,4.8,24,91.1,1000,Free,0.0,Everyone,Family
Tools App #377,TOOLS,3.9,55010,70.8,5000000,Free,0.0,Teen,Tools
Game App #378,GAME,4.6,37798,78.5,500000,Paid,9.99,Teen,Game
Game App #379,GAME,4.1,30,28.4,500,Free,0.0,Everyone,Game
Finance App #380,FINANCE,3.8,8884,77.3,500000,Free,0.0,Mature 17+,Finance
Family App #381,FAMILY,4.4,1790,80.4,100000,Paid,2.99,Everyone,Family
Finance App #382,FINANCE,4.6,3820,29.8,100000,Paid,1.99,Everyone,Finance
Photography App #383,PHOTOGRAPHY,4.1,7342,32.2,100000,Free,0.0,Everyone,Photography
Game App #384,GAME,4.6,123,22.4,10000,Free,0.0,Everyone,Game
Business App #385,BUSINESS,4.5,4,78.5,100,Free,0.0,Everyone,Business
Productivity App #386,PRODUCTIVITY,4.4,29,78.6,500,Free,0.0,Teen,Productivity
Finance App #387,FINANCE,4.4,144,48.4,5000,Free,0.0,Everyone,Finance
Family App #388,FAMILY,3.9,290082,39.7,10000000,Free,0.0,Everyone,Family
Game App #389,GAME,4.5,363504,56.5,5000000,Free,0.0,Everyone,Game
Finance App #390,FINANCE,5.0,15790,88.6,1000000,Free,0.0,Teen,Finance
Tools App #391,TOOLS,4.7,36,42.6,500,Free,0.0,Mature 17+,Tools
Communication App #392,COMMUNICATION,3.9,181,6.4,10000,Free,0.0,Everyone,Communication
Business App #393,BUSINESS,4.0,356428,19.4,5000000,Free,0.0,Everyone,Business
Game App #394,GAME,3.9,30863,12.2,1000000,Free,0.0,Teen,Game
Medical App #395,MEDICAL,4.2,2014,44.8,50000,Paid,9.99,Everyone,Medical
Tools App #396,TOOLS,4.5,6372,41.0,100000,Free,0.0,Teen,Tools
Family App #397,FAMILY,4.4,55339,76.2,1000000,Free,0.0,Teen,Family
Family App #398,FAMILY,4.5,27807,70.8,500000,Free,0.0,Everyone,Family
Medical App #399,MEDICAL,4.3,1505,36.5,50000,Free,0.0,Everyone,Medical
Finance App #400,FINANCE,4.1,287,79.8,10000,Free,0.0,Everyone,Finance
Medical App #401,MEDICAL,4.1,19,51.6,500,Free,0.0,Everyone,Medical
Communication App #402,COMMUNICATION,2.9,77444,50.5,1000000,Free,0.0,Everyone,Communication
Productivity App #403,PRODUCTIVITY,4.4,1,4.1,100,Free,0.0,Teen,Productivity
Business App #404,BUSINESS,4.2,2024,33.2,50000,Free,0.0,Everyone,Business
Photography App #405,PHOTOGRAPHY,4.7,248,63.8,5000,Free,0.0,Everyone,Photography
Productivity App #406,PRODUCTIVITY,5.0,48287,79.3,1000000,Free,0.0,Everyone,Productivity
Communication App #407,COMMUNICATION,4.4,2611,46.3,50000,Free,0.0,Everyone,Communication
Lifestyle App #408,LIFESTYLE,4.3,37995,75.1,500000,Free,0.0,Everyone 10+,Lifestyle
Family App #409,FAMILY,3.6,1185,15.5,50000,Free,0.0,Everyone,Family
Lifestyle App #410,LIFESTYLE,3.9,20,77.5,1000,Free,0.0,Everyone,Lifestyle
Game App #411,GAME,4.8,238,8.1,5000,Free,0.0,Everyone,Game
Lifestyle App #412,LIFESTYLE,3.8,448,23.8,10000,Free,0.0,Everyone,Lifestyle
Game App #413,GAME,3.9,764349,91.5,10000000,Free,0.0,Everyone,Game
Finance App #414,FINANCE,4.8,113107,44.9,5000000,Free,0.0,Everyone,Finance
Finance App #415,FINANCE,3.8,796486,51.3,10000000,Free,0.0,Everyone,Finance
Finance App #416,FINANCE,4.4,44,40.1,1000,Paid,4.99,Everyone 10+,Finance
Business App #417,BUSINESS,5.0,151,60.1,10000,Free,0.0,Everyone 10+,Business
Productivity App #418,PRODUCTIVITY,3.5,348528,67.1,10000000,Free,0.0,Everyone,Productivity
Family App #419,FAMILY,4.2,30141,25.4,500000,Free,0.0,Everyone,Family
Photography App #420,PHOTOGRAPHY,3.6,247,73.9,5000,Free,0.0,Everyone,Photography
Business App #421,BUSINESS,4.5,130,61.2,5000,Free,0.0,Everyone,Business
Communication App #422,COMMUNICATION,4.1,33289,26.0,500000,Free,0.0,Everyone,Communication
Tools App #423,TOOLS,5.0,218542,61.3,5000000,Free,0.0,Everyone,Tools
Tools App #424,TOOLS,3.5,3499,75.3,100000,Paid,2.99,Everyone,Tools
Productivity App #425,PRODUCTIVITY,3.6,11,87.4,500,Free,0.0,Everyone,Productivity
Lifestyle App #426,LIFESTYLE,4.6,12725,5.8,1000000,Free,0.0,Everyone,Lifestyle
Family App #427,FAMILY,4.3,40562,56.2,1000000,Free,0.0,Everyone,Family
Lifestyle App #428,LIFESTYLE,4.5,7258,90.0,100000,Free,0.0,Mature 17+,Lifestyle
Medical App #429,MEDICAL,4.0,2432,57.2,100000,Free,0.0,Everyone,Medical
Tools App #430,TOOLS,2.5,35504,29.8,1000000,Free,0.0,Mature 17+,Tools
Game App #431,GAME,4.6,17341,78.8,500000,Free,0.0,Everyone,Game
Game App #432,GAME,4.6,15151,88.6,500000,Free,0.0,Everyone,Game
Medical App #433,MEDICAL,3.9,35352,69.4,1000000,Free,0.0,Everyone,Medical
Photography App #434,PHOTOGRAPHY,4.3,130,2.6,5000,Free,0.0,Teen,Photography
Finance App #435,FINANCE,4.5,197,30.5,5000,Free,0.0,Everyone,Finance
Business App #436,BUSINESS,4.4,22,36.8,1000,Free,0.0,Mature 17+,Business
Finance App #437,FINANCE,4.3,10236,37.7,500000,Free,0.0,Everyone,Finance
Lifestyle App #438,LIFESTYLE,5.0,288313,50.4,10000000,Free,0.0,Everyone,Lifestyle
Lifestyle App #439,LIFESTYLE,3.4,6,72.7,100,Free,0.0,Everyone,Lifestyle
Game App #440,GAME,4.6,35,88.8,1000,Free,0.0,Teen,Game
Communication App #441,COMMUNICATION,4.6,5862,69.9,100000,Free,0.0,Mature 17+,Communication
Game App #442,GAME,4.2,34173,33.5,1000000,Paid,0.99,Everyone 10+,Game
Tools App #443,TOOLS,3.3,4377,49.4,100000,Paid,0.99,Everyone,Tools
Productivity App #444,PRODUCTIVITY,4.4,64,14.0,1000,Free,0.0,Teen,Productivity
Game App #445,GAME,4.6,6719,53.0,100000,Free,0.0,Everyone 10+,Game
Tools App #446,TOOLS,3.7,602,82.3,10000,Free,0.0,Everyone,Tools
Tools App #447,TOOLS,4.3,574006,60.3,10000000,Free,0.0,Everyone,Tools
Finance App #448,FINANCE,4.3,149,31.4,10000,Free,0.0,Mature 17+,Finance
Family App #449,FAMILY,3.5,21,19.8,1000,Free,0.0,Everyone,Family
Medical App #450,MEDICAL,4.5,388158,89.0,10000000,Free,0.0,Everyone,Medical
Medical App #451,MEDICAL,3.9,5,33.3,100,Paid,2.99,Everyone,Medical
Photography App #452,PHOTOGRAPHY,3.3,285,61.0,5000,Free,0.0,Everyone,Photography
Tools App #453,TOOLS,4.2,39198,12.0,500000,Free,0.0,Everyone,Tools
Business App #454,BUSINESS,4.1,253764,21.4,5000000,Free,0.0,Everyone,Business
Photography App #455,PHOTOGRAPHY,5.0,270745,53.3,5000000,Free,0.0,Everyone,Photography
Lifestyle App #456,LIFESTYLE,4.3,2204,88.1,100000,Free,0.0,Everyone,Lifestyle
Business App #457,BUSINESS,4.9,28,3.9,1000,Paid,4.99,Everyone 10+,Business
Lifestyle App #458,LIFESTYLE,4.8,1595,27.6,50000,Free,0.0,Everyone,Lifestyle
Productivity App #459,PRODUCTIVITY,5.0,124579,89.4,5000000,Free,0.0,Everyone,Productivity
Communication App #460,COMMUNICATION,3.7,18,7.2,500,Free,0.0,Everyone,Communication
Productivity App #461,PRODUCTIVITY,4.5,37932,80.2,1000000,Free,0.0,Everyone,Productivity
Finance App #462,FINANCE,4.2,4,71.2,100,Free,0.0,Everyone,Finance
Productivity App #463,PRODUCTIVITY,3.4,40408,69.4,1000000,Free,0.0,Everyone,Productivity
Communication App #464,COMMUNICATION,4.0,546381,24.9,10000000,Free,0.0,Teen,Communication
Communication App #465,COMMUNICATION,4.4,109,25.5,10000,Free,0.0,Everyone,Communication
Medical App #466,MEDICAL,4.5,17420,41.8,500000,Paid,1.99,Everyone,Medical
Game App #467,GAME,3.5,35,38.0,500,Free,0.0,Everyone,Game
Communication App #468,COMMUNICATION,3.6,229763,25.9,5000000,Free,0.0,Everyone 10+,Communication
Communication App #469,COMMUNICATION,4.3,4,27.4,100,Paid,1.99,Everyone,Communication
Finance App #470,FINANCE,4.6,32,44.5,500,Free,0.0,Everyone,Finance
Finance App #471,FINANCE,3.6,324,41.3,5000,Free,0.0,Everyone,Finance
Lifestyle App #472,LIFESTYLE,4.3,2259,7.7,50000,Paid,4.99,Everyone,Lifestyle
Productivity App #473,PRODUCTIVITY,4.0,5,26.6,100,Free,0.0,Everyone,Productivity
Medical App #474,MEDICAL,4.9,622,69.2,10000,Free,0.0,Teen,Medical
Tools App #475,TOOLS,3.7,4,52.0,100,Paid,9.99,Everyone,Tools
Lifestyle App #476,LIFESTYLE,3.8,67968,22.5,1000000,Free,0.0,Teen,Lifestyle
Medical App #477,MEDICAL,3.5,131124,32.0,5000000,Free,0.0,Mature 17+,Medical
Finance App #478,FINANCE,3.8,34,50.7,1000,Free,0.0,Teen,Finance
Photography App #479,PHOTOGRAPHY,3.0,1092,29.9,100000,Free,0.0,Everyone,Photography
Photography App #480,PHOTOGRAPHY,3.7,130,13.4,5000,Free,0.0,Everyone,Photography
Communication App #481,COMMUNICATION,4.3,212,10.2,10000,Free,0.0,Everyone,Communication
Lifestyle App #482,LIFESTYLE,5.0,173994,12.2,5000000,Free,0.0,Everyone,Lifestyle
Business App #483,BUSINESS,3.5,253687,91.3,10000000,Free,0.0,Everyone,Business
Business App #484,BUSINESS,3.9,4,66.9,100,Free,0.0,Teen,Business
Game App #485,GAME,4.7,27,51.8,500,Free,0.0,Everyone,Game
Game App #486,GAME,4.1,1999,66.5,100000,Free,0.0,Everyone,Game
Medical App #487,MEDICAL,4.2,39,4.2,1000,Free,0.0,Teen,Medical
Business App #488,BUSINESS,3.5,49,60.6,1000,Free,0.0,Everyone,Business
Business App #489,BUSINESS,4.8,67497,80.5,1000000,Free,0.0,Everyone,Business
Tools App #490,TOOLS,4.3,4159,19.5,100000,Free,0.0,Mature 17+,Tools
Tools App #491,TOOLS,4.1,47923,92.0,1000000,Paid,14.99,Everyone,Tools
Business App #492,BUSINESS,4.7,18,76.9,500,Free,0.0,Everyone,Business
Lifestyle App #493,LIFESTYLE,4.3,52,67.9,1000,Free,0.0,Everyone,Lifestyle
Productivity App #494,PRODUCTIVITY,4.1,3654,79.4,100000,Paid,2.99,Teen,Productivity
Business App #495,BUSINESS,4.3,7,73.4,500,Paid,4.99,Everyone,Business
Medical App #496,MEDICAL,5.0,5742,72.7,100000,Free,0.0,Everyone,Medical
Tools App #497,TOOLS,4.0,723286,71.9,10000000,Free,0.0,Mature 17+,Tools
Photography App #498,PHOTOGRAPHY,4.0,557,84.7,10000,Free,0.0,Everyone,Photography
Finance App #499,FINANCE,5.0,185174,56.9,5000000,Free,0.0,Everyone,Finance
Family App #500,FAMILY,3.9,227470,19.9,5000000,Free,0.0,Everyone,Family
